
color ball : ball: r = 300.00, c = (0, 0, 255), v = 113097240.00, s =1130972.40, pos = (100.00, 200.00, 300.00).
color ball : ball: r = 300.00, c = (167, 241, 217), v = 113097240.00, s =1130972.40, pos = (110.00, 205.00, 307.00).
color ball : ball: r = 300.00, c = (42, 130, 200), v = 113097240.00, s =1130972.40, pos = (120.00, 210.00, 314.00).
color ball : ball: r = 300.00, c = (216, 254, 67), v = 113097240.00, s =1130972.40, pos = (130.00, 215.00, 321.00).
color ball : ball: r = 300.00, c = (77, 152, 85), v = 113097240.00, s =1130972.40, pos = (140.00, 220.00, 328.00).
color ball : ball: r = 300.00, c = (140, 226, 179), v = 113097240.00, s =1130972.40, pos = (150.00, 225.00, 335.00).
color ball : ball: r = 300.00, c = (71, 23, 17), v = 113097240.00, s =1130972.40, pos = (160.00, 230.00, 342.00).
color ball : ball: r = 300.00, c = (152, 84, 47), v = 113097240.00, s =1130972.40, pos = (170.00, 235.00, 349.00).
color ball : ball: r = 300.00, c = (17, 45, 5), v = 113097240.00, s =1130972.40, pos = (180.00, 240.00, 356.00).
color ball : ball: r = 300.00, c = (88, 245, 107), v = 113097240.00, s =1130972.40, pos = (190.00, 245.00, 363.00).
color ball : ball: r = 300.00, c = (214, 136, 7), v = 113097240.00, s =1130972.40, pos = (200.00, 250.00, 370.00).
